[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=2121] exit timeout, forced kill
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=2126] exit timeout, forced kill
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=2125] exit timeout, forced kill
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=2124] exit timeout, forced kill
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=2122] exit timeout, forced kill
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=2123] exit timeout, forced kill
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=2121] abnormal exit, status=0, signal=9
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=2126] abnormal exit, status=0, signal=9
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=2125] abnormal exit, status=0, signal=9
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=2124] abnormal exit, status=0, signal=9
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=2123] abnormal exit, status=0, signal=9
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=2122] abnormal exit, status=0, signal=9
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=2120] abnormal exit, status=0, signal=9
[2019-10-01 20:01:38 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=2153] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=2162] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=2156] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=2157] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=2158] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=2159] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=2161] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=2160] exit timeout, forced kill
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=2162] abnormal exit, status=0, signal=9
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=2161] abnormal exit, status=0, signal=9
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=2160] abnormal exit, status=0, signal=9
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=2159] abnormal exit, status=0, signal=9
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=2158] abnormal exit, status=0, signal=9
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=2157] abnormal exit, status=0, signal=9
[2019-10-01 20:01:41 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=2156] abnormal exit, status=0, signal=9
[2019-10-01 20:01:44 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=2215] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=2218] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=2224] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=2223] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=2222] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=2221] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=2219] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=2220] exit timeout, forced kill
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=2218] abnormal exit, status=0, signal=9
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=2224] abnormal exit, status=0, signal=9
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=2223] abnormal exit, status=0, signal=9
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=2222] abnormal exit, status=0, signal=9
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=2221] abnormal exit, status=0, signal=9
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=2220] abnormal exit, status=0, signal=9
[2019-10-01 20:01:47 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=2219] abnormal exit, status=0, signal=9
[2019-10-01 20:02:28 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=2234] exit timeout, forced kill
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=2237] exit timeout, forced kill
